name,SENTIMENT_EXTREME,WORD_COUNT_MIN,WORD_COUNT_MAX,ADJ_NOUN_RATIO,FIRST_PERSON_RATIO,SPAM_KEYWORD_MIN,CAPS_RATIO_MAX,EXCESSIVE_PUNCT_MIN,UNIQUENESS_RATIO_MIN,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_samples
Stage1_127,0.95,20,200,2.0,0.1,3,0.2,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_71,0.95,20,200,2.0,0.1,4,0.2,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_65,0.95,20,200,2.0,0.1,4,0.2,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_62,0.95,20,200,2.0,0.1,4,0.15,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_59,0.95,20,200,2.0,0.1,4,0.15,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_56,0.95,20,200,2.0,0.1,4,0.15,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_80,0.95,20,200,2.0,0.1,4,0.25,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_77,0.95,20,200,2.0,0.1,4,0.25,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_32,0.95,20,200,2.0,0.1,3,0.15,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_29,0.95,20,200,2.0,0.1,3,0.15,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_38,0.95,20,200,2.0,0.1,3,0.2,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_47,0.95,20,200,2.0,0.1,3,0.25,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_44,0.95,20,200,2.0,0.1,3,0.2,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_41,0.95,20,200,2.0,0.1,3,0.2,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_35,0.95,20,200,2.0,0.1,3,0.15,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_74,0.95,20,200,2.0,0.1,4,0.25,2,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_68,0.95,20,200,2.0,0.1,4,0.2,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_50,0.95,20,200,2.0,0.1,3,0.25,3,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage2_53,0.95,20,200,2.0,0.1,3,0.25,4,0.6,0.6,0.6785714285714286,0.38,0.48717948717948717,19,9,41,31,100
Stage1_130,0.95,20,200,2.5,0.1,3,0.2,3,0.6,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_5,0.95,20,200,2.0,0.1,2,0.15,3,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage2_8,0.95,20,200,2.0,0.1,2,0.15,4,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage1_133,0.95,20,200,3.0,0.1,3,0.2,3,0.6,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_17,0.95,20,200,2.0,0.1,2,0.2,4,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage2_34,0.95,20,200,2.0,0.1,3,0.15,4,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_79,0.95,20,200,2.0,0.1,4,0.25,4,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_70,0.95,20,200,2.0,0.1,4,0.2,4,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_67,0.95,20,200,2.0,0.1,4,0.2,3,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_73,0.95,20,200,2.0,0.1,4,0.25,2,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
